品目,数量,単位,高値,安値,主な産地,日付,元ファイル
きわだ,2117,1kg,2320,648,,令和元年5月13日（月）,suiexcel-7 (6).xls
あじ,5015,1kg,1500,200,,令和元年5月13日（月）,suiexcel-7 (6).xls
さば,2682,1kg,500,140,,令和元年5月13日（月）,suiexcel-7 (6).xls
まいわし,1640,1kg,270,130,,令和元年5月13日（月）,suiexcel-7 (6).xls
養成ぶり,741,1kg,2430,800,,令和元年5月13日（月）,suiexcel-7 (6).xls
かつお,3554,1kg,1450,200,,令和元年5月13日（月）,suiexcel-7 (6).xls
養成まだい,5065,1kg,1404,600,,令和元年5月13日（月）,suiexcel-7 (6).xls
さわら,1151,1kg,900,540,,令和元年5月13日（月）,suiexcel-7 (6).xls
かれい,1243,1kg,2480,400,,令和元年5月13日（月）,suiexcel-7 (6).xls
養成はまち,1184,1kg,1242,950,,令和元年5月13日（月）,suiexcel-7 (6).xls
養成かんぱち,1239,1kg,1836,1100,,令和元年5月13日（月）,suiexcel-7 (6).xls
するめいか,2962,1kg,2170,440,,令和元年5月13日（月）,suiexcel-7 (6).xls
さけ,3789,1kg,1850,550,,令和元年5月13日（月）,suiexcel-7 (6).xls
しじみ,749,1kg,1296,324,,令和元年5月13日（月）,suiexcel-7 (6).xls
あさり,2799,1kg,972,300,,令和元年5月13日（月）,suiexcel-7 (6).xls
さざえ,320,1kg,1100,600,,令和元年5月13日（月）,suiexcel-7 (6).xls
ほたて貝,890,1kg,5110,230,,令和元年5月13日（月）,suiexcel-7 (6).xls
冷凍もんごいか,390,1kg,4104,702,,令和元年5月13日（月）,suiexcel-7 (6).xls
冷凍たこ,170,1kg,2268,1080,,令和元年5月13日（月）,suiexcel-7 (6).xls
冷凍えび,1276,1kg,4320,720,,令和元年5月13日（月）,suiexcel-7 (6).xls
塩さば,2231,1kg,2030,324,,令和元年5月13日（月）,suiexcel-7 (6).xls
塩さけ,1656,1kg,1350,780,,令和元年5月13日（月）,suiexcel-7 (6).xls
塩すけそうこ,438,1kg,2750,1080,,令和元年5月13日（月）,suiexcel-7 (6).xls
開干さんま,245,1kg,1400,350,,令和元年5月13日（月）,suiexcel-7 (6).xls
開干あじ,424,1kg,1080,120,,令和元年5月13日（月）,suiexcel-7 (6).xls
若干かれい,124,1kg,1944,900,,令和元年5月13日（月）,suiexcel-7 (6).xls
ちりめん,2115,1kg,3078,1090,,令和元年5月13日（月）,suiexcel-7 (6).xls
なまりぶし,50,1kg,1250,800,,令和元年5月13日（月）,suiexcel-7 (6).xls
ほたるいか,922,1kg,3780,540,,令和元年5月13日（月）,suiexcel-7 (6).xls
くろまぐろ,254,1kg,1200,780,,令和元年5月14日（火）,suiexcel-8 (6).xls
きわだ,1510,1kg,2320,450,,令和元年5月14日（火）,suiexcel-8 (6).xls
あじ,5200,1kg,900,120,,令和元年5月14日（火）,suiexcel-8 (6).xls
さば,4315,1kg,560,180,,令和元年5月14日（火）,suiexcel-8 (6).xls
まいわし,2460,1kg,270,120,,令和元年5月14日（火）,suiexcel-8 (6).xls
養成ぶり,557,1kg,2430,850,,令和元年5月14日（火）,suiexcel-8 (6).xls
かつお,5002,1kg,1450,210,,令和元年5月14日（火）,suiexcel-8 (6).xls
養成まだい,4187,1kg,3330,700,,令和元年5月14日（火）,suiexcel-8 (6).xls
さわら,1021,1kg,1188,380,,令和元年5月14日（火）,suiexcel-8 (6).xls
かれい,1467,1kg,2600,230,,令和元年5月14日（火）,suiexcel-8 (6).xls
養成はまち,937,1kg,1242,864,,令和元年5月14日（火）,suiexcel-8 (6).xls
養成かんぱち,997,1kg,1836,1100,,令和元年5月14日（火）,suiexcel-8 (6).xls
するめいか,667,1kg,1790,720,,令和元年5月14日（火）,suiexcel-8 (6).xls
さけ,2390,1kg,1580,770,,令和元年5月14日（火）,suiexcel-8 (6).xls
しじみ,1080,1kg,1296,324,,令和元年5月14日（火）,suiexcel-8 (6).xls
あさり,2972,1kg,972,200,,令和元年5月14日（火）,suiexcel-8 (6).xls
さざえ,743,1kg,1100,550,,令和元年5月14日（火）,suiexcel-8 (6).xls
ほたて貝,1009,1kg,5110,230,,令和元年5月14日（火）,suiexcel-8 (6).xls
冷凍もんごいか,408,1kg,4104,702,,令和元年5月14日（火）,suiexcel-8 (6).xls
冷凍たこ,150,1kg,2268,1080,,令和元年5月14日（火）,suiexcel-8 (6).xls
冷凍えび,900,1kg,4320,720,,令和元年5月14日（火）,suiexcel-8 (6).xls
塩さば,3992,1kg,648,300,,令和元年5月14日（火）,suiexcel-8 (6).xls
塩さけ,4034,1kg,1400,540,,令和元年5月14日（火）,suiexcel-8 (6).xls
塩すけそうこ,448,1kg,3900,1250,,令和元年5月14日（火）,suiexcel-8 (6).xls
開干さんま,389,1kg,1400,350,,令和元年5月14日（火）,suiexcel-8 (6).xls
開干あじ,302,1kg,1080,550,,令和元年5月14日（火）,suiexcel-8 (6).xls
若干かれい,100,1kg,1944,972,,令和元年5月14日（火）,suiexcel-8 (6).xls
ちりめん,4547,1kg,3780,1050,,令和元年5月14日（火）,suiexcel-8 (6).xls
なまりぶし,62,1kg,2250,800,,令和元年5月14日（火）,suiexcel-8 (6).xls
ほたるいか,1188,1kg,4000,570,,令和元年5月14日（火）,suiexcel-8 (6).xls
くろまぐろ,495,1kg,2900,900,,令和元年5月16日（木）,suiexcel-9 (6).xls
きわだ,3716,1kg,2320,270,,令和元年5月16日（木）,suiexcel-9 (6).xls
あじ,8820,1kg,1500,140,,令和元年5月16日（木）,suiexcel-9 (6).xls
さば,3695,1kg,630,216,,令和元年5月16日（木）,suiexcel-9 (6).xls
まいわし,2400,1kg,270,120,,令和元年5月16日（木）,suiexcel-9 (6).xls
養成ぶり,330,1kg,1650,850,,令和元年5月16日（木）,suiexcel-9 (6).xls
かつお,3928,1kg,900,216,,令和元年5月16日（木）,suiexcel-9 (6).xls
養成まだい,4647,1kg,1404,200,,令和元年5月16日（木）,suiexcel-9 (6).xls
さわら,222,1kg,1620,800,,令和元年5月16日（木）,suiexcel-9 (6).xls
かれい,2248,1kg,800,260,,令和元年5月16日（木）,suiexcel-9 (6).xls
養成はまち,1025,1kg,1242,950,,令和元年5月16日（木）,suiexcel-9 (6).xls
養成かんぱち,1321,1kg,1836,1100,,令和元年5月16日（木）,suiexcel-9 (6).xls
するめいか,2778,1kg,800,140,,令和元年5月16日（木）,suiexcel-9 (6).xls
さけ,3772,1kg,2830,300,,令和元年5月16日（木）,suiexcel-9 (6).xls
しじみ,725,1kg,1296,324,,令和元年5月16日（木）,suiexcel-9 (6).xls
あさり,3396,1kg,972,360,,令和元年5月16日（木）,suiexcel-9 (6).xls
さざえ,516,1kg,1100,400,,令和元年5月16日（木）,suiexcel-9 (6).xls
ほたて貝,740,1kg,5110,230,,令和元年5月16日（木）,suiexcel-9 (6).xls
冷凍もんごいか,500,1kg,4104,702,,令和元年5月16日（木）,suiexcel-9 (6).xls
冷凍たこ,210,1kg,2268,1080,,令和元年5月16日（木）,suiexcel-9 (6).xls
冷凍えび,1177,1kg,4600,720,,令和元年5月16日（木）,suiexcel-9 (6).xls
塩さば,4600,1kg,648,324,,令和元年5月16日（木）,suiexcel-9 (6).xls
塩さけ,1976,1kg,1380,970,,令和元年5月16日（木）,suiexcel-9 (6).xls
塩すけそうこ,670,1kg,2750,864,,令和元年5月16日（木）,suiexcel-9 (6).xls
開干さんま,456,1kg,1400,350,,令和元年5月16日（木）,suiexcel-9 (6).xls
開干あじ,350,1kg,1188,120,,令和元年5月16日（木）,suiexcel-9 (6).xls
若干かれい,100,1kg,1944,1080,,令和元年5月16日（木）,suiexcel-9 (6).xls
ちりめん,8423,1kg,3780,756,,令和元年5月16日（木）,suiexcel-9 (6).xls
なまりぶし,65,1kg,1250,800,,令和元年5月16日（木）,suiexcel-9 (6).xls
ほたるいか,829,1kg,4750,500,,令和元年5月16日（木）,suiexcel-9 (6).xls
くろまぐろ,83,1kg,2900,2900,,令和元年5月17日（金）,suiexcel-10 (6).xls
きわだ,1268,1kg,2500,648,,令和元年5月17日（金）,suiexcel-10 (6).xls
あじ,1644,1kg,800,120,,令和元年5月17日（金）,suiexcel-10 (6).xls
さば,2053,1kg,560,240,,令和元年5月17日（金）,suiexcel-10 (6).xls
まいわし,2300,1kg,324,100,,令和元年5月17日（金）,suiexcel-10 (6).xls
養成ぶり,363,1kg,1650,850,,令和元年5月17日（金）,suiexcel-10 (6).xls
かつお,2211,1kg,1450,216,,令和元年5月17日（金）,suiexcel-10 (6).xls
養成まだい,4283,1kg,1404,200,,令和元年5月17日（金）,suiexcel-10 (6).xls
さわら,385,1kg,1200,648,,令和元年5月17日（金）,suiexcel-10 (6).xls
かれい,1284,1kg,3300,150,,令和元年5月17日（金）,suiexcel-10 (6).xls
養成はまち,925,1kg,1242,972,,令和元年5月17日（金）,suiexcel-10 (6).xls
養成かんぱち,1245,1kg,1836,1100,,令和元年5月17日（金）,suiexcel-10 (6).xls
するめいか,1077,1kg,864,190,,令和元年5月17日（金）,suiexcel-10 (6).xls
さけ,3205,1kg,1850,820,,令和元年5月17日（金）,suiexcel-10 (6).xls
しじみ,655,1kg,1296,324,,令和元年5月17日（金）,suiexcel-10 (6).xls
あさり,2786,1kg,1100,360,,令和元年5月17日（金）,suiexcel-10 (6).xls
さざえ,450,1kg,1100,600,,令和元年5月17日（金）,suiexcel-10 (6).xls
ほたて貝,739,1kg,5110,500,,令和元年5月17日（金）,suiexcel-10 (6).xls
冷凍もんごいか,368,1kg,4104,702,,令和元年5月17日（金）,suiexcel-10 (6).xls
冷凍たこ,150,1kg,2268,1080,,令和元年5月17日（金）,suiexcel-10 (6).xls
冷凍えび,1025,1kg,4320,720,,令和元年5月17日（金）,suiexcel-10 (6).xls
塩さば,2305,1kg,760,400,,令和元年5月17日（金）,suiexcel-10 (6).xls
塩さけ,1652,1kg,1350,700,,令和元年5月17日（金）,suiexcel-10 (6).xls
塩すけそうこ,346,1kg,2750,1380,,令和元年5月17日（金）,suiexcel-10 (6).xls
開干さんま,431,1kg,1400,350,,令和元年5月17日（金）,suiexcel-10 (6).xls
開干あじ,513,1kg,1500,150,,令和元年5月17日（金）,suiexcel-10 (6).xls
若干かれい,340,1kg,1944,750,,令和元年5月17日（金）,suiexcel-10 (6).xls
ちりめん,5271,1kg,3780,800,,令和元年5月17日（金）,suiexcel-10 (6).xls
なまりぶし,78,1kg,1470,800,,令和元年5月17日（金）,suiexcel-10 (6).xls
ほたるいか,937,1kg,6000,500,,令和元年5月17日（金）,suiexcel-10 (6).xls
くろまぐろ,813,1kg,2900,910,,令和元年5月18日（土）,suiexcel-11 (4).xls
きわだ,1931,1kg,2320,200,,令和元年5月18日（土）,suiexcel-11 (4).xls
あじ,2088,1kg,1600,120,,令和元年5月18日（土）,suiexcel-11 (4).xls
さば,2418,1kg,600,210,,令和元年5月18日（土）,suiexcel-11 (4).xls
まいわし,2280,1kg,270,100,,令和元年5月18日（土）,suiexcel-11 (4).xls
養成ぶり,496,1kg,2430,800,,令和元年5月18日（土）,suiexcel-11 (4).xls
かつお,3524,1kg,900,250,,令和元年5月18日（土）,suiexcel-11 (4).xls
養成まだい,5237,1kg,3330,560,,令和元年5月18日（土）,suiexcel-11 (4).xls
さわら,1209,1kg,1100,400,,令和元年5月18日（土）,suiexcel-11 (4).xls
かれい,1201,1kg,2250,200,,令和元年5月18日（土）,suiexcel-11 (4).xls
養成はまち,915,1kg,1242,972,,令和元年5月18日（土）,suiexcel-11 (4).xls
養成かんぱち,1646,1kg,1836,1100,,令和元年5月18日（土）,suiexcel-11 (4).xls
するめいか,735,1kg,810,600,,令和元年5月18日（土）,suiexcel-11 (4).xls
