品目,数量,単位,高値,安値,主な産地,日付,元ファイル
塩すけそうこ,510,1kg,3925.035714285714,1972,,平成31年1月11日（金）,suiexcel4 (48).xls
塩いわし,80,1kg,1047.6,524,,平成31年1月11日（金）,suiexcel4 (48).xls
開干あじ,447,1kg,1373.8406374501992,722,,平成31年1月11日（金）,suiexcel4 (48).xls
若干かれい,50,1kg,1620,972,,平成31年1月11日（金）,suiexcel4 (48).xls
ちりめん,985,1kg,3888,1080,,平成31年1月11日（金）,suiexcel4 (48).xls
かますごかまあげ,50,1kg,1080,1080,,平成31年1月11日（金）,suiexcel4 (48).xls
くろまぐろ,237,1kg,3347.2067510548522,2650,,平成31年1月12日（土）,suiexcel5 (48).xls
きわだ,2332,1kg,3200.032338308458,1380,,平成31年1月12日（土）,suiexcel5 (48).xls
あじ,1265,1kg,786.6037735849056,378,,平成31年1月12日（土）,suiexcel5 (48).xls
さば,4086,1kg,561,216,,平成31年1月12日（土）,suiexcel5 (48).xls
まいわし,2172,1kg,270,162,,平成31年1月12日（土）,suiexcel5 (48).xls
養成ぶり,3675,1kg,1305.4238095238097,800,,平成31年1月12日（土）,suiexcel5 (48).xls
養成まだい,5540,1kg,2148.1030042918455,972,,平成31年1月12日（土）,suiexcel5 (48).xls
さごし,925,1kg,756,540,,平成31年1月12日（土）,suiexcel5 (48).xls
養成はまち,606,1kg,1603.25,700,,平成31年1月12日（土）,suiexcel5 (48).xls
養成かんぱち,2090,1kg,1772.1202346041055,1000,,平成31年1月12日（土）,suiexcel5 (48).xls
するめいか,640,1kg,1128,972,,平成31年1月12日（土）,suiexcel5 (48).xls
さけ,3211,1kg,2395.7133917396745,1188,,平成31年1月12日（土）,suiexcel5 (48).xls
養成ふぐ,977,1kg,4152.412416851441,1836,,平成31年1月12日（土）,suiexcel5 (48).xls
たこ,341,1kg,12000,1296,,平成31年1月12日（土）,suiexcel5 (48).xls
かに,225,1kg,6462.510344827586,3306,,平成31年1月12日（土）,suiexcel5 (48).xls
はまぐり,476,1kg,1836,648,,平成31年1月12日（土）,suiexcel5 (48).xls
あさり,1452,1kg,1052.4327485380118,432,,平成31年1月12日（土）,suiexcel5 (48).xls
かき,6412,1kg,2700,864,,平成31年1月12日（土）,suiexcel5 (48).xls
冷凍もんごいか,408,1kg,4428,864,,平成31年1月12日（土）,suiexcel5 (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月12日（土）,suiexcel5 (48).xls
冷凍えび,3066,1kg,4214.703910614525,972,,平成31年1月12日（土）,suiexcel5 (48).xls
塩さば,3888,1kg,648,324,,平成31年1月12日（土）,suiexcel5 (48).xls
塩さけ,1448,1kg,1201,604,,平成31年1月12日（土）,suiexcel5 (48).xls
塩すけそうこ,323,1kg,3759.863777089783,1911,,平成31年1月12日（土）,suiexcel5 (48).xls
塩いわし,40,1kg,1058.4,529,,平成31年1月12日（土）,suiexcel5 (48).xls
開干あじ,243,1kg,1781.8048780487804,926,,平成31年1月12日（土）,suiexcel5 (48).xls
若干かれい,50,1kg,1620,972,,平成31年1月12日（土）,suiexcel5 (48).xls
ちりめん,524,1kg,5252.014150943396,1620,,平成31年1月12日（土）,suiexcel5 (48).xls
かますごかまあげ,300,1kg,1080,1080,,平成31年1月12日（土）,suiexcel5 (48).xls
くろまぐろ,79,1kg,4197.771428571428,2900,,平成31年1月15日（火）,suiexcel6 (48).xls
きわだ,2086,1kg,3073.340723453909,1080,,平成31年1月15日（火）,suiexcel6 (48).xls
あじ,1360,1kg,5500,170,,平成31年1月15日（火）,suiexcel6 (48).xls
さば,5681,1kg,495.582039162728,270,,平成31年1月15日（火）,suiexcel6 (48).xls
まいわし,3127,1kg,270,162,,平成31年1月15日（火）,suiexcel6 (48).xls
養成ぶり,4586,1kg,1463.2797281993203,600,,平成31年1月15日（火）,suiexcel6 (48).xls
養成まだい,6024,1kg,2293.084286319356,700,,平成31年1月15日（火）,suiexcel6 (48).xls
さごし,422,1kg,648,432,,平成31年1月15日（火）,suiexcel6 (48).xls
養成はまち,999,1kg,1475.0287356321837,700,,平成31年1月15日（火）,suiexcel6 (48).xls
養成かんぱち,2361,1kg,1864,432,,平成31年1月15日（火）,suiexcel6 (48).xls
するめいか,2445,1kg,972,864,,平成31年1月15日（火）,suiexcel6 (48).xls
さけ,4247,1kg,2463.1511558980437,1188,,平成31年1月15日（火）,suiexcel6 (48).xls
養成ふぐ,1238,1kg,2916,1080,,平成31年1月15日（火）,suiexcel6 (48).xls
たこ,333,1kg,12000,1404,,平成31年1月15日（火）,suiexcel6 (48).xls
かに,169,1kg,5724,2717,,平成31年1月15日（火）,suiexcel6 (48).xls
はまぐり,472,1kg,1836,648,,平成31年1月15日（火）,suiexcel6 (48).xls
あさり,2238,1kg,1036.7827715355804,432,,平成31年1月15日（火）,suiexcel6 (48).xls
かき,6947,1kg,2700,864,,平成31年1月15日（火）,suiexcel6 (48).xls
冷凍もんごいか,408,1kg,4320,864,,平成31年1月15日（火）,suiexcel6 (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月15日（火）,suiexcel6 (48).xls
冷凍えび,1631,1kg,3888.2,972,,平成31年1月15日（火）,suiexcel6 (48).xls
塩さば,4592,1kg,648,432,,平成31年1月15日（火）,suiexcel6 (48).xls
塩さけ,2044,1kg,3132,1097.688271604938,,平成31年1月15日（火）,suiexcel6 (48).xls
塩すけそうこ,615,1kg,3320.9366852886405,1683,,平成31年1月15日（火）,suiexcel6 (48).xls
塩いわし,55,1kg,378,378,,平成31年1月15日（火）,suiexcel6 (48).xls
開干あじ,255,1kg,1379.1636363636364,725,,平成31年1月15日（火）,suiexcel6 (48).xls
若干かれい,100,1kg,1620,972,,平成31年1月15日（火）,suiexcel6 (48).xls
ちりめん,159,1kg,3780,1709,,平成31年1月15日（火）,suiexcel6 (48).xls
かますごかまあげ,206,1kg,3528,864,,平成31年1月15日（火）,suiexcel6 (48).xls
